comment	id	type	initial	values	public	notes
	image_color_reported	boolean	false			
	clue_attachments_pending	boolean	false			
	old_note_opened	boolean	false			
	rainy_window_opened	boolean	false			
	chat_auth_link_sent	boolean	false			
	chat_auth_verified	boolean	false			
	demo_completed	boolean	false			
	demo_completion_announced	boolean	false			
	demo_call_completed	boolean	false			
	demo_chat_cross_received	boolean	false			
	demo_chat_message_received	boolean	false			
	session_started	boolean	false			
	demo_delayed_message_received	boolean	false			
	demo_image_received	boolean	false			
	demo_sms_cross_received	boolean	false			
	demo_sms_message_received	boolean	false			
	sealed_note_unlocked	boolean	false			
	radio_playback_completed	boolean	false
